0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661133,-0.578125,0.487305,-0.3125,-0.3125,-1.625,64,48,146
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.670898,-0.59082,0.476562,2.5,1.375,-0.75,64,48,146
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665039,-0.586914,0.485352,3.5,0.8125,-1.6875,64,48,146
-1.0,-2.0,-1.0,2.0,7.0,7.0,6.0,-3.0,0.671387,-0.543945,0.51416,2.5625,-0.5,-5.625,65,48,145
-1.0,-3.0,-6.0,-2.0,2.0,7.0,12.0,-1.0,0.660645,-0.568848,0.491699,9.375,-1.625,-2.875,65,48,145
-4.0,-2.0,1.0,2.0,-1.0,4.0,-12.0,-4.0,0.695312,-0.504883,0.477051,1.125,-3.625,-1.0625,65,48,145
-1.0,0.0,0.0,-1.0,4.0,9.0,1.0,-4.0,0.651367,-0.59082,0.510254,-4.8125,-10.3125,-5.875,65,47,146
-3.0,-1.0,-2.0,5.0,-19.0,-13.0,-17.0,-2.0,0.633789,-0.628906,0.509766,-2.9375,-10.4375,-10.25,65,47,146
0.0,5.0,13.0,8.0,6.0,14.0,4.0,-6.0,0.701172,-0.521484,0.464844,1.625,-12.5,-13.5,65,45,146
-6.0,-9.0,-10.0,-1.0,1.0,-8.0,-26.0,-7.0,0.71582,-0.580078,0.487793,-10.3125,-11.875,-13.625,65,45,146
12.0,6.0,9.0,25.0,4.0,6.0,16.0,-4.0,0.69873,-0.561523,0.434082,1.6875,-11.3125,-20.875,65,44,146
-8.0,11.0,0.0,9.0,-3.0,-13.0,0.0,-2.0,0.739746,-0.507324,0.443848,-6.0625,-9.75,-14.6875,65,43,146
4.0,11.0,-8.0,-7.0,3.0,13.0,-10.0,-6.0,0.726562,-0.53125,0.450684,0.0625,-11.9375,-14.5,65,42,145
6.0,7.0,-3.0,-8.0,-3.0,17.0,-7.0,6.0,0.754883,-0.489258,0.427734,0.1875,-7.5,-9.75,65,41,145
-1.0,-7.0,-2.0,9.0,6.0,3.0,15.0,9.0,0.759766,-0.473145,0.416992,7.3125,-7.6875,-8.125,65,40,145
3.0,-1.0,22.0,14.0,-12.0,-11.0,1.0,-17.0,0.757324,-0.507812,0.430664,1.3125,-7.25,-9.1875,65,40,145
-14.0,-16.0,6.0,9.0,8.0,2.0,23.0,-5.0,0.771484,-0.454102,0.42627,-1.125,-6.4375,-6.625,65,39,145
1.0,0.0,-6.0,-2.0,-4.0,-17.0,-29.0,-10.0,0.786621,-0.469238,0.402832,5.0625,-6.9375,-5.75,65,39,145
10.0,-2.0,-41.0,-39.0,-7.0,-13.0,-4.0,3.0,0.788086,-0.448242,0.404297,1.8125,-3.5625,-2.875,65,38,145
2.0,17.0,17.0,24.0,9.0,1.0,-22.0,-4.0,0.787109,-0.463867,0.402832,2.125,-2.75,-1.5625,65,38,146
-6.0,2.0,17.0,29.0,-4.0,0.0,8.0,5.0,0.78418,-0.465332,0.411621,1.3125,-0.6875,0.0625,65,38,146
-1.0,-3.0,-18.0,-7.0,7.0,-3.0,-1.0,-1.0,0.796875,-0.463867,0.402832,1.75,0.0625,-0.6875,65,38,146
-3.0,-4.0,-2.0,-14.0,-7.0,-4.0,-10.0,14.0,0.783203,-0.464355,0.410156,-3.0625,2.0,-0.3125,65,38,145
1.0,-1.0,13.0,-13.0,-8.0,-6.0,3.0,-3.0,0.78125,-0.461426,0.408691,1.6875,0.875,0.375,65,38,145
-5.0,-4.0,1.0,9.0,-3.0,14.0,-1.0,-30.0,0.779785,-0.477539,0.430176,-3.1875,-0.25,-1.5,65,38,145
0.0,10.0,-12.0,-3.0,-7.0,11.0,29.0,3.0,0.788086,-0.465332,0.410645,-0.25,-0.5625,0.375,65,38,145
-17.0,-14.0,21.0,-1.0,1.0,-18.0,-15.0,-15.0,0.783203,-0.472168,0.416992,0.25,0.0,-0.3125,65,38,145
-2.0,5.0,44.0,8.0,3.0,4.0,0.0,7.0,0.779785,-0.471191,0.421387,-0.6875,0.375,-0.1875,65,38,145
0.0,0.0,47.0,23.0,2.0,1.0,25.0,-18.0,0.78125,-0.474609,0.415527,1.0625,-1.0625,0.0,65,38,145
4.0,7.0,11.0,6.0,0.0,-3.0,14.0,23.0,0.780762,-0.468262,0.423828,-1.875,-0.5625,-1.8125,65,38,145
25.0,19.0,5.0,-4.0,0.0,12.0,-1.0,13.0,0.785156,-0.464355,0.406738,1.25,0.125,1.0625,65,38,145
-3.0,-7.0,9.0,9.0,-18.0,-22.0,-22.0,-11.0,0.781738,-0.465332,0.420898,-1.0,-0.125,-1.25,65,38,145
-9.0,-7.0,-36.0,-14.0,-17.0,-7.0,-1.0,7.0,0.790039,-0.467773,0.412109,-0.5,0.5625,-0.125,65,38,145
-14.0,-1.0,-4.0,-13.0,-1.0,-1.0,-2.0,1.0,0.775879,-0.468262,0.425781,-0.375,0.0625,-0.5,65,38,145
16.0,10.0,-29.0,-26.0,-2.0,6.0,-22.0,-6.0,0.790039,-0.45752,0.410645,1.3125,-0.1875,-0.1875,65,38,145
-5.0,-7.0,-23.0,-9.0,-2.0,-4.0,0.0,-5.0,0.779785,-0.477539,0.417969,-1.9375,-0.6875,-0.9375,65,38,145
-3.0,-31.0,-66.0,-13.0,-1.0,15.0,31.0,35.0,0.787109,-0.465332,0.418457,-0.5,0.0625,0.0625,65,38,145
6.0,-7.0,-8.0,-18.0,-1.0,2.0,-12.0,-3.0,0.779785,-0.46582,0.411133,-0.875,-0.25,-0.75,65,38,145
1.0,7.0,30.0,28.0,1.0,-10.0,-5.0,6.0,0.789551,-0.466797,0.416504,0.6875,0.125,0.6875,65,38,145
-11.0,-26.0,10.0,12.0,6.0,3.0,14.0,19.0,0.785645,-0.468262,0.42041,0.8125,-0.3125,-0.25,65,38,145
14.0,-10.0,-2.0,-1.0,5.0,12.0,35.0,11.0,0.785645,-0.458008,0.41748,-1.4375,-0.125,-0.5625,65,38,145
-7.0,-6.0,-1.0,4.0,4.0,16.0,-9.0,5.0,0.782715,-0.445312,0.412109,0.0625,0.3125,0.375,65,38,145
-6.0,0.0,23.0,-1.0,0.0,2.0,18.0,-1.0,0.783203,-0.474609,0.420898,0.125,-0.1875,0.6875,65,38,145
-1.0,-7.0,-19.0,-11.0,3.0,0.0,0.0,-1.0,0.781738,-0.47168,0.415527,0.9375,0.375,0.625,65,38,145
-8.0,18.0,11.0,7.0,3.0,3.0,2.0,9.0,0.770996,-0.47998,0.418945,1.0625,0.1875,-1.1875,65,38,145
-1.0,8.0,11.0,12.0,3.0,-16.0,-20.0,-27.0,0.784668,-0.45752,0.419434,1.25,0.0625,0.8125,65,38,145
-7.0,13.0,-17.0,-11.0,1.0,8.0,8.0,-54.0,0.779785,-0.477539,0.422852,0.3125,-0.5,-0.375,65,38,145
-8.0,0.0,-48.0,2.0,-3.0,4.0,6.0,6.0,0.782227,-0.460938,0.422363,-2.0,-0.1875,-0.625,65,38,145
0.0,14.0,11.0,-8.0,5.0,-1.0,16.0,9.0,0.780762,-0.467773,0.416016,0.125,-0.75,-0.8125,65,38,145
-11.0,-11.0,-25.0,-19.0,4.0,-5.0,4.0,12.0,0.786621,-0.470215,0.418457,-1.125,0.0,0.375,65,38,145
1.0,3.0,-3.0,-1.0,-4.0,-1.0,5.0,-5.0,0.780273,-0.467285,0.417969,-1.25,-0.5625,-0.5,65,38,145
