index,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,label
6961,24,19,-16,10,-2,15,0,58,0.487305,-0.618652,0.646484,0.125,0.875,-1.375,68,61,3,Q
58573,24,19,-16,10,-2,15,0,58,0.487305,-0.618652,0.646484,0.125,0.875,-1.375,68,61,3,Q
50404,24,21,27,-2,-4,-14,-8,2,0.866211,-0.293457,0.338867,11.6875,0.0625,4.9375,70,27,164,K
50455,24,21,27,-2,-4,-14,-8,2,0.866211,-0.293457,0.338867,11.6875,0.0625,4.9375,70,27,164,K
14033,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14034,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14035,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14036,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14037,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14038,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14039,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14040,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14041,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14042,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14043,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14044,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14045,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14046,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14047,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14048,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14049,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14050,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14051,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14052,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14053,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14054,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14055,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14056,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14057,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14058,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14059,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14060,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14061,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14062,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14063,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14064,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14065,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14066,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14067,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14068,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14069,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14070,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14071,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14072,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14073,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14074,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
14075,24,29,27,26,53,90,90,44,0.734863,-0.388184,0.631348,-2.1875,1.0,7.125,71,43,92,B
30189,24,37,-9,2,-1,-9,-16,57,0.820801,-0.369141,0.424805,1.0,-0.0625,-0.4375,69,34,99,L
30240,24,37,-9,2,-1,-9,-16,57,0.820801,-0.369141,0.424805,1.0,-0.0625,-0.4375,69,34,99,L
7093,24,39,15,-1,2,0,2,11,0.442383,-0.607422,0.705078,-1.125,-5.3125,-14.625,68,63,3,Q
58705,24,39,15,-1,2,0,2,11,0.442383,-0.607422,0.705078,-1.125,-5.3125,-14.625,68,63,3,Q
41777,26,8,4,4,18,7,3,0,0.691895,-0.534668,0.452148,0.25,-10.0625,-13.4375,65,44,143,E
42032,26,8,4,4,18,7,3,0,0.691895,-0.534668,0.452148,0.25,-10.0625,-13.4375,65,44,143,E
6993,26,21,4,1,-6,5,4,26,0.483887,-0.583984,0.705566,-0.5,-8.75,-0.375,68,63,1,Q
58605,26,21,4,1,-6,5,4,26,0.483887,-0.583984,0.705566,-0.5,-8.75,-0.375,68,63,1,Q
7176,26,36,-19,-6,5,12,11,2,0.472656,-0.634766,0.657227,0.8125,-0.5,1.25,68,62,4,Q
58788,26,36,-19,-6,5,12,11,2,0.472656,-0.634766,0.657227,0.8125,-0.5,1.25,68,62,4,Q
50417,27,-15,-27,-20,-7,-3,3,-3,0.873047,-0.306152,0.397461,2.5,-0.5,4.25,70,28,164,K
50468,27,-15,-27,-20,-7,-3,3,-3,0.873047,-0.306152,0.397461,2.5,-0.5,4.25,70,28,164,K
35968,27,-9,1,2,5,35,44,2,0.727539,-0.279297,0.612305,-0.1875,2.875,1.625,76,41,116,H
36019,27,-9,1,2,5,35,44,2,0.727539,-0.279297,0.612305,-0.1875,2.875,1.625,76,41,116,H
7147,27,-8,4,29,-2,-7,-2,-5,0.469238,-0.647461,0.684082,1.8125,-5.1875,-18.6875,69,63,3,Q
58759,27,-8,4,29,-2,-7,-2,-5,0.469238,-0.647461,0.684082,1.8125,-5.1875,-18.6875,69,63,3,Q
7013,28,-9,22,3,-7,-7,-4,-10,0.482422,-0.630859,0.657715,0.125,0.8125,0.3125,68,62,3,Q
58625,28,-9,22,3,-7,-7,-4,-10,0.482422,-0.630859,0.657715,0.125,0.8125,0.3125,68,62,3,Q
7101,28,9,-13,-5,-4,-1,5,41,0.464844,-0.622559,0.661621,0.375,-0.8125,1.4375,68,62,4,Q
58713,28,9,-13,-5,-4,-1,5,41,0.464844,-0.622559,0.661621,0.375,-0.8125,1.4375,68,62,4,Q
4761,29,3,-8,9,0,3,-7,12,0.808105,-0.42334,0.429199,11.4375,-3.875,-7.625,67,36,32,S
4863,29,3,-8,9,0,3,-7,12,0.808105,-0.42334,0.429199,11.4375,-3.875,-7.625,67,36,32,S
41811,29,3,38,29,8,15,9,6,0.743164,-0.506348,0.445801,-0.0625,0.0625,-0.75,65,41,143,E
42066,29,3,38,29,8,15,9,6,0.743164,-0.506348,0.445801,-0.0625,0.0625,-0.75,65,41,143,E
7164,30,-36,-17,9,4,8,7,0,0.470215,-0.614746,0.662109,-0.25,0.25,1.25,68,62,4,Q
58776,30,-36,-17,9,4,8,7,0,0.470215,-0.614746,0.662109,-0.25,0.25,1.25,68,62,4,Q
50406,30,-35,-25,-6,-1,31,-1,-2,0.870117,-0.266113,0.371094,-2.0,0.875,-1.125,70,27,164,K
50457,30,-35,-25,-6,-1,31,-1,-2,0.870117,-0.266113,0.371094,-2.0,0.875,-1.125,70,27,164,K
4753,30,17,77,8,-3,3,-4,8,0.787598,-0.482422,0.437012,3.625,-20.0,26.875,68,38,29,S
4855,30,17,77,8,-3,3,-4,8,0.787598,-0.482422,0.437012,3.625,-20.0,26.875,68,38,29,S
41781,31,-5,-17,-25,5,23,43,5,0.734863,-0.527832,0.462402,1.25,-6.4375,-6.8125,65,42,143,E
42036,31,-5,-17,-25,5,23,43,5,0.734863,-0.527832,0.462402,1.25,-6.4375,-6.8125,65,42,143,E
7143,31,36,5,9,3,0,1,5,0.433594,-0.620117,0.691895,1.3125,-1.6875,0.125,68,65,3,Q
58755,31,36,5,9,3,0,1,5,0.433594,-0.620117,0.691895,1.3125,-1.6875,0.125,68,65,3,Q
30167,32,-15,11,5,4,40,8,-8,0.823242,-0.37207,0.422852,0.0625,0.5,-0.3125,69,34,99,L
30218,32,-15,11,5,4,40,8,-8,0.823242,-0.37207,0.422852,0.0625,0.5,-0.3125,69,34,99,L
50416,32,11,-11,8,5,12,6,2,0.876953,-0.318848,0.384766,-2.25,1.4375,-1.5,70,28,164,K
50467,32,11,-11,8,5,12,6,2,0.876953,-0.318848,0.384766,-2.25,1.4375,-1.5,70,28,164,K
7187,32,41,14,-19,-2,-13,-4,25,0.47168,-0.633789,0.652344,3.6875,-5.75,-9.4375,68,62,4,Q
58799,32,41,14,-19,-2,-13,-4,25,0.47168,-0.633789,0.652344,3.6875,-5.75,-9.4375,68,62,4,Q
7157,33,15,2,8,-7,-18,-10,4,0.475586,-0.621094,0.663574,-0.75,0.0625,1.5,68,62,4,Q
58769,33,15,2,8,-7,-18,-10,4,0.475586,-0.621094,0.663574,-0.75,0.0625,1.5,68,62,4,Q
6975,36,8,0,-4,6,-13,5,-1,0.484863,-0.616699,0.657715,-0.125,0.25,0.4375,68,61,3,Q
58587,36,8,0,-4,6,-13,5,-1,0.484863,-0.616699,0.657715,-0.125,0.25,0.4375,68,61,3,Q
7001,38,46,24,28,1,-16,3,55,0.469727,-0.625977,0.642578,1.125,-0.3125,1.625,67,61,3,Q
58613,38,46,24,28,1,-16,3,55,0.469727,-0.625977,0.642578,1.125,-0.3125,1.625,67,61,3,Q
7134,39,27,7,5,-2,-12,-11,-1,0.473633,-0.626953,0.659668,0.25,-0.5,1.5625,68,62,4,Q
58746,39,27,7,5,-2,-12,-11,-1,0.473633,-0.626953,0.659668,0.25,-0.5,1.5625,68,62,4,Q
6996,40,46,50,4,0,0,5,-22,0.529785,-0.586426,0.651855,3.375,-12.3125,10.6875,68,62,2,Q
58608,40,46,50,4,0,0,5,-22,0.529785,-0.586426,0.651855,3.375,-12.3125,10.6875,68,62,2,Q
7131,40,68,35,7,-5,-2,1,14,0.477539,-0.622559,0.665039,-0.8125,1.0,-1.375,68,62,4,Q
58743,40,68,35,7,-5,-2,1,14,0.477539,-0.622559,0.665039,-0.8125,1.0,-1.375,68,62,4,Q
6972,45,22,21,-6,-1,6,11,29,0.48584,-0.604492,0.652344,0.25,0.8125,0.0,68,61,3,Q
58584,45,22,21,-6,-1,6,11,29,0.48584,-0.604492,0.652344,0.25,0.8125,0.0,68,61,3,Q
41843,46,6,2,-3,7,30,28,-20,0.730957,-0.49707,0.458008,-3.6875,1.1875,-0.625,65,42,143,E
42098,46,6,2,-3,7,30,28,-20,0.730957,-0.49707,0.458008,-3.6875,1.1875,-0.625,65,42,143,E
50398,51,13,24,-2,0,17,2,6,0.875,-0.288086,0.37207,7.5,0.125,2.6875,68,26,163,K
50449,51,13,24,-2,0,17,2,6,0.875,-0.288086,0.37207,7.5,0.125,2.6875,68,26,163,K
7166,52,33,27,24,0,-3,-1,24,0.476562,-0.620117,0.658203,0.5625,0.75,1.9375,68,62,4,Q
58778,52,33,27,24,0,-3,-1,24,0.476562,-0.620117,0.658203,0.5625,0.75,1.9375,68,62,4,Q
7048,55,-12,-32,-13,7,-10,-6,17,0.478027,-0.616699,0.651367,-0.875,-1.4375,-2.1875,68,61,3,Q
58660,55,-12,-32,-13,7,-10,-6,17,0.478027,-0.616699,0.651367,-0.875,-1.4375,-2.1875,68,61,3,Q
6994,56,112,70,49,-11,0,1,21,0.470215,-0.595703,0.648926,-5.25,-11.1875,-2.25,68,62,1,Q
58606,56,112,70,49,-11,0,1,21,0.470215,-0.595703,0.648926,-5.25,-11.1875,-2.25,68,62,1,Q
50399,65,-32,19,4,0,-5,-1,3,0.867676,-0.377441,0.334961,5.0,5.0625,3.125,68,26,163,K
50450,65,-32,19,4,0,-5,-1,3,0.867676,-0.377441,0.334961,5.0,5.0625,3.125,68,26,163,K
7046,66,-54,30,21,-5,-22,-7,-17,0.493164,-0.595703,0.658691,1.1875,-8.0625,1.875,68,62,3,Q
58658,66,-54,30,21,-5,-22,-7,-17,0.493164,-0.595703,0.658691,1.1875,-8.0625,1.875,68,62,3,Q
7097,70,-73,-31,-26,0,19,16,16,0.491211,-0.620117,0.652344,-0.5,-1.375,0.8125,68,62,4,Q
58709,70,-73,-31,-26,0,19,16,16,0.491211,-0.620117,0.652344,-0.5,-1.375,0.8125,68,62,4,Q
6974,72,3,12,-3,-10,0,-7,1,0.496094,-0.61084,0.64502,0.5,0.375,0.6875,68,61,3,Q
58586,72,3,12,-3,-10,0,-7,1,0.496094,-0.61084,0.64502,0.5,0.375,0.6875,68,61,3,Q
