0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.927246,0.328613,0.272949,3.5,23.4375,-37.8125,115,149,57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.950684,0.301758,0.225586,5.1875,-1.9375,-15.3125,115,151,56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.938965,0.299316,0.27002,8.8125,-7.875,-4.75,115,151,56
23.0,11.0,4.0,1.0,6.0,-8.0,2.0,6.0,-0.948242,0.359375,0.250488,0.5,-37.9375,36.8125,115,149,56
-16.0,2.0,1.0,2.0,-4.0,10.0,1.0,-7.0,-0.838379,0.388184,0.37207,12.0625,-43.25,58.375,115,146,56
10.0,0.0,5.0,0.0,-3.0,-6.0,-3.0,-1.0,-0.787598,0.527344,0.319336,-18.9375,-49.25,60.75,115,142,56
8.0,6.0,4.0,2.0,10.0,-7.0,7.0,15.0,-0.711426,0.599121,0.57666,-1.9375,-19.5625,51.75,115,137,57
12.0,2.0,0.0,3.0,24.0,26.0,2.0,-14.0,-0.691895,0.562988,0.486816,-28.25,-6.5625,30.5625,115,136,57
24.0,-12.0,-10.0,-9.0,2.0,-12.0,-9.0,-20.0,-0.737305,0.550781,0.455566,-6.4375,0.0,41.625,115,135,58
36.0,-3.0,9.0,6.0,8.0,9.0,-2.0,7.0,-0.703125,0.607422,0.441895,-29.625,6.0625,28.375,115,133,59
-39.0,-10.0,7.0,6.0,4.0,3.0,-5.0,-46.0,-0.688965,0.59082,0.463867,-39.1875,-4.25,33.9375,115,132,60
7.0,16.0,-15.0,0.0,14.0,22.0,12.0,23.0,-0.67627,0.580078,0.503906,-44.1875,-2.9375,25.375,114,131,60
17.0,6.0,7.0,4.0,-4.0,5.0,-7.0,-11.0,-0.671875,0.561035,0.536621,-53.125,2.5,20.1875,113,130,60
-48.0,3.0,-5.0,-3.0,-10.0,-3.0,-7.0,-20.0,-0.605469,0.579102,0.542969,-32.25,11.75,9.9375,113,130,61
-24.0,-41.0,-4.0,2.0,8.0,-3.0,-3.0,-1.0,-0.703125,0.587402,0.538574,-39.125,20.875,-1.0,112,131,62
32.0,33.0,0.0,1.0,-2.0,0.0,4.0,1.0,-0.668945,0.50293,0.529785,-18.1875,13.6875,-5.375,112,131,62
10.0,-12.0,-3.0,-1.0,13.0,29.0,9.0,3.0,-0.710449,0.503906,0.536621,1.1875,10.8125,-12.9375,111,132,62
-11.0,-13.0,-9.0,-5.0,12.0,11.0,-2.0,-2.0,-0.715332,0.483398,0.508789,14.1875,3.375,-16.3125,112,133,62
8.0,7.0,8.0,6.0,-15.0,-23.0,-2.0,1.0,-0.725098,0.508789,0.520996,-1.1875,0.0625,1.8125,112,133,61
20.0,16.0,9.0,0.0,22.0,8.0,-2.0,8.0,-0.691895,0.510254,0.543457,6.375,0.6875,3.9375,112,133,61
0.0,1.0,2.0,-1.0,10.0,14.0,-3.0,-3.0,-0.711914,0.547852,0.515137,5.1875,-0.5625,2.75,112,133,62
-26.0,-28.0,6.0,4.0,7.0,3.0,-1.0,-5.0,-0.691406,0.531738,0.542969,4.25,0.0625,2.4375,112,133,62
25.0,15.0,-1.0,-1.0,-1.0,12.0,6.0,8.0,-0.707031,0.547363,0.529297,1.6875,-0.125,-0.9375,112,133,62
-6.0,3.0,-7.0,1.0,-3.0,-5.0,4.0,9.0,-0.711914,0.54541,0.51709,1.1875,0.375,-4.375,112,133,61
-5.0,9.0,-11.0,-3.0,-5.0,1.0,2.0,-3.0,-0.708984,0.53418,0.529785,2.125,1.0625,-5.1875,112,133,61
-25.0,-3.0,1.0,1.0,6.0,3.0,-3.0,-4.0,-0.71875,0.521973,0.516602,-1.0,-0.125,-5.0625,112,133,61
7.0,-7.0,-3.0,-5.0,-19.0,-14.0,-5.0,-3.0,-0.714844,0.51709,0.521973,4.9375,0.1875,-3.375,112,134,61
-6.0,-2.0,-1.0,-1.0,-3.0,5.0,1.0,0.0,-0.729004,0.525879,0.512207,2.75,0.0625,-3.625,112,134,61
-3.0,1.0,1.0,0.0,-3.0,-2.0,2.0,0.0,-0.713867,0.532715,0.501465,3.25,-0.6875,-3.0625,112,134,61
7.0,0.0,0.0,-2.0,-1.0,2.0,-1.0,-1.0,-0.72168,0.518555,0.51709,-1.4375,1.625,-0.875,112,134,61
-25.0,-28.0,0.0,3.0,5.0,-3.0,-1.0,-2.0,-0.711914,0.522461,0.514648,2.125,0.8125,-1.0625,112,134,61
0.0,-29.0,-5.0,0.0,4.0,4.0,1.0,-2.0,-0.719238,0.530273,0.51709,0.0625,1.0,-1.25,112,134,61
5.0,16.0,2.0,-2.0,-7.0,3.0,-1.0,-9.0,-0.721191,0.51709,0.512695,-0.6875,-0.625,-0.375,112,134,61
-14.0,-7.0,-4.0,-5.0,-22.0,-12.0,-5.0,-6.0,-0.720703,0.526367,0.508789,1.0625,-0.9375,-0.875,112,134,61
2.0,25.0,-6.0,-4.0,13.0,8.0,-4.0,-5.0,-0.715332,0.512695,0.513672,-0.4375,-0.375,-1.75,112,134,61
-3.0,2.0,4.0,3.0,7.0,17.0,1.0,-8.0,-0.720215,0.518555,0.522461,1.75,0.9375,-1.6875,112,134,61
12.0,14.0,-3.0,-8.0,-1.0,1.0,2.0,0.0,-0.711426,0.530273,0.513672,0.4375,1.375,-2.8125,112,134,61
4.0,3.0,3.0,7.0,27.0,6.0,1.0,10.0,-0.728027,0.503906,0.517578,1.5,4.375,-0.6875,112,134,61
-6.0,-25.0,2.0,2.0,-16.0,-12.0,2.0,3.0,-0.724609,0.516113,0.498535,-0.5,2.8125,-0.625,112,135,61
-9.0,7.0,-2.0,-1.0,-4.0,-2.0,-2.0,2.0,-0.729004,0.51416,0.495117,-0.9375,1.9375,0.125,112,135,61
21.0,19.0,5.0,2.0,4.0,1.0,2.0,3.0,-0.728516,0.512695,0.50293,-1.0,0.0,0.4375,112,135,61
-27.0,-39.0,-8.0,-2.0,-3.0,-10.0,-4.0,-5.0,-0.741211,0.519531,0.505371,0.0625,0.625,0.0,112,135,61
-8.0,-6.0,-7.0,-2.0,-6.0,-1.0,-6.0,-4.0,-0.722168,0.525391,0.491699,0.125,-0.125,-0.5625,112,135,61
-37.0,-41.0,-8.0,-4.0,-4.0,-2.0,-3.0,-5.0,-0.729004,0.51709,0.509766,-0.25,-0.125,-1.3125,112,135,61
-15.0,-3.0,1.0,0.0,10.0,14.0,0.0,-5.0,-0.725098,0.52002,0.500977,0.875,-0.6875,-1.625,112,135,61
19.0,18.0,0.0,-1.0,6.0,9.0,-3.0,0.0,-0.729492,0.512207,0.513672,-0.5,0.125,-0.375,112,135,61
8.0,2.0,-3.0,-5.0,-18.0,-2.0,-5.0,-4.0,-0.730469,0.512207,0.503906,0.0,0.625,0.4375,112,135,61
6.0,-9.0,-1.0,2.0,17.0,11.0,3.0,2.0,-0.724609,0.519043,0.501953,0.1875,0.0,-1.375,112,135,61
-9.0,9.0,-1.0,-1.0,-5.0,-8.0,-2.0,3.0,-0.73291,0.52002,0.507324,-0.5625,0.0,0.0,112,135,61
8.0,7.0,-3.0,-1.0,7.0,5.0,-1.0,-3.0,-0.727051,0.513184,0.504395,0.125,-0.1875,-0.9375,112,135,61
4.0,15.0,4.0,1.0,8.0,-3.0,1.0,0.0,-0.729492,0.519043,0.506836,-0.9375,0.1875,0.3125,112,135,61
