0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821777,-0.40625,0.374023,-3.75,4.1875,-0.125,65,33,97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84082,-0.405273,0.361328,1.375,-2.125,4.25,65,33,97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835449,-0.397461,0.353516,3.5625,-2.25,6.5625,65,33,98
-8.0,-4.0,-1.0,0.0,-8.0,-32.0,72.0,3.0,0.796875,-0.477539,0.386719,5.3125,-3.25,8.0,65,34,98
-3.0,-1.0,-15.0,-3.0,-4.0,26.0,-1.0,-25.0,0.849609,-0.486816,0.385254,15.125,-9.3125,4.25,65,34,99
-23.0,1.0,42.0,3.0,-4.0,56.0,-1.0,-8.0,0.8125,-0.479492,0.367188,6.1875,-8.5625,-9.0625,65,34,99
19.0,-22.0,24.0,7.0,-9.0,13.0,63.0,-24.0,0.843262,-0.408203,0.327637,1.375,-9.625,-9.375,65,32,99
-45.0,-14.0,71.0,-19.0,-20.0,-72.0,-91.0,-34.0,0.861328,-0.376465,0.352051,0.9375,-10.25,-5.125,65,31,99
-42.0,-8.0,-5.0,-15.0,-29.0,-2.0,-61.0,-8.0,0.84668,-0.380371,0.339355,1.4375,-9.3125,-4.1875,65,31,99
-35.0,-70.0,-14.0,-2.0,-5.0,-68.0,34.0,-19.0,0.864258,-0.379395,0.292969,-0.3125,-3.5,-0.625,64,30,100
6.0,20.0,10.0,9.0,-4.0,-5.0,-32.0,2.0,0.848145,-0.407227,0.317871,1.25,-2.625,0.5625,64,30,100
1.0,-18.0,-12.0,-12.0,-17.0,-46.0,-87.0,-20.0,0.852051,-0.373535,0.321777,-0.0625,-1.25,1.8125,64,30,100
45.0,9.0,-10.0,16.0,41.0,63.0,127.0,49.0,0.847656,-0.424316,0.314941,-1.3125,-0.0625,0.125,64,30,100
-19.0,-23.0,32.0,4.0,-7.0,75.0,23.0,2.0,0.856445,-0.375488,0.320801,1.375,0.25,1.5,64,30,100
6.0,-1.0,13.0,0.0,-5.0,-49.0,16.0,2.0,0.849609,-0.422363,0.322754,-0.375,-2.0625,-1.4375,64,30,100
7.0,-6.0,-8.0,-6.0,-5.0,26.0,-37.0,-21.0,0.867676,-0.383301,0.3125,-0.0625,0.0,0.375,64,30,100
-6.0,-42.0,-18.0,3.0,9.0,23.0,24.0,-11.0,0.848633,-0.410156,0.320312,-0.9375,-0.3125,-1.875,64,30,100
-36.0,-55.0,-61.0,-17.0,-21.0,17.0,-28.0,-31.0,0.85498,-0.375,0.32666,0.0,0.1875,0.0,64,30,100
15.0,75.0,42.0,1.0,4.0,44.0,-22.0,-7.0,0.857422,-0.406738,0.327148,-0.6875,-0.5,-0.5,64,30,100
12.0,-4.0,35.0,-2.0,-10.0,-2.0,43.0,6.0,0.850586,-0.39502,0.315918,0.0625,-0.75,0.0625,64,30,100
-17.0,-54.0,-8.0,-16.0,-16.0,-37.0,-48.0,17.0,0.854492,-0.391113,0.318848,-0.1875,-0.75,0.75,64,30,100
10.0,17.0,-5.0,-9.0,-8.0,73.0,-4.0,-25.0,0.849609,-0.405762,0.31543,-0.0625,-1.6875,-0.3125,64,30,100
-23.0,48.0,-15.0,-6.0,-9.0,-50.0,-43.0,-39.0,0.856934,-0.39502,0.319336,0.3125,-0.875,-0.625,64,30,100
3.0,-17.0,-15.0,-3.0,-12.0,-32.0,-43.0,0.0,0.855469,-0.397461,0.309082,-0.125,-1.3125,-0.5625,64,30,100
0.0,-19.0,46.0,1.0,-5.0,-50.0,-34.0,-26.0,0.856934,-0.400391,0.314453,-0.75,0.125,0.25,64,30,100
1.0,5.0,-2.0,-8.0,-19.0,1.0,-15.0,-38.0,0.854004,-0.398926,0.320801,0.125,-0.8125,-0.625,64,30,100
18.0,-29.0,-58.0,-11.0,-10.0,-24.0,-32.0,-17.0,0.856445,-0.397461,0.309082,-0.1875,0.625,-0.25,64,30,100
18.0,22.0,-20.0,-1.0,-4.0,-19.0,25.0,3.0,0.856934,-0.408691,0.314941,0.125,-0.5,0.125,64,30,100
15.0,-21.0,-5.0,6.0,5.0,-67.0,-56.0,12.0,0.863281,-0.397949,0.303223,-0.125,0.5625,-0.25,64,30,100
-5.0,38.0,75.0,4.0,6.0,33.0,-7.0,4.0,0.847168,-0.402344,0.331055,-0.5625,0.0625,-0.25,64,30,100
